Agency Code,Agency Name,Public Cloud PY,Public Cloud CY,Public Cloud BY,Private Cloud PY,Private Cloud CY,Private Cloud BY,Community Cloud PY,Community Cloud CY,Community Cloud BY,Hybrid Cloud PY,Hybrid Cloud CY,Hybrid Cloud BY,SaaS PY,SaaS CY,SaaS BY,PaaS PY,PaaS CY,PaaS BY,IaaS PY,IaaS CY,IaaS BY,XML Request ID,Updated Date,Updated Time
"012","Department of Labor","1.403032","1.620032","2.429032","12.347000","13.127000","16.711000","24.309777","17.661401","16.583841","0.140000","0.120000","0.080000","28.786431","24.076001","23.399341","3.225346","3.525400","7.831500","6.188032","4.927032","4.573032","4016171","2014-02-11","09:25:18"
"005","Department of Agriculture","3.292969","4.319188","4.568473","25.388641","80.507529","70.578731","4.859600","4.060000","4.217430","0.066000","0.100000","0.000000","3.192131","17.899765","17.328938","18.330404","41.373182","37.344503","12.084675","29.713770","24.691193","4016315","2014-02-11","18:07:55"
"014","Department of State","3.813630","3.966484","3.331776","20.506860","16.851473","17.267718","0.000000","0.000000","0.000000","9.828000","11.270000","10.235000","18.136000","18.298000","17.894000","4.691000","3.381000","3.350000","11.321490","10.408957","9.590494","4016785","2014-02-12","10:33:02"
"429","Nuclear Regulatory Commission","0.000000","0.000000","0.000000","6.200000","4.456000","4.217000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","6.200000","4.456000","4.217000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","4017399","2014-02-12","14:02:51"
"012-12","Department of Labor","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","4017427","2014-02-12","14:40:09"
"010","Department of the Interior","4.197630","4.535909","0.855000","32.137025","33.623332","31.756688","4.721270","4.608197","3.686225","3.843670","15.542000","15.405260","37.744868","40.715984","36.463618","2.485227","3.076454","0.432295","4.669500","14.517000","14.807260","4017431","2014-02-12","14:46:06"
"026","National Aeronautics and Space Administration","5.454000","8.228000","7.470000","2.448000","3.434000","3.525000","1.214110","0.450000","0.417000","0.205000","0.414000","0.444000","0.068110","4.004000","3.825000","5.136000","4.788000","3.983000","4.117000","3.734000","4.048000","4017527","2014-02-12","15:26:29"
"006","Department of Commerce","0.990000","1.527673","2.810711","3.390301","38.812944","32.771569","4.675067","19.660246","17.721802","0.076190","10.344868","8.414078","5.761170","39.737050","42.480189","2.530682","4.452076","3.270715","0.839706","26.156605","15.967256","4017931","2014-02-12","16:42:05"
"028","Small Business Administration","0.000000","0.000000","0.000000","3.056500","2.979200","2.777200","0.049300","0.049300","0.049300","0.000000","0.000000","0.000000","1.349800","1.631500","1.631500","1.650000","1.147000","0.945000","0.106000","0.250000","0.250000","4018087","2014-02-12","18:13:12"
"202","U.S. Army Corps of Engineers","0.500000","0.750000","0.750000","24.000000","24.000000","24.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.500000","0.750000","0.750000","0.000000","0.000000","0.000000","24.000000","24.000000","24.000000","4018089","2014-02-12","18:28:19"
"422","National Science Foundation","0.612000","0.485000","0.215000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.454000","0.325000","0.055000","0.000000","0.000000","0.000000","0.158000","0.160000","0.160000","4018799","2014-02-13","10:07:16"
"024","Department of Homeland Security","10.254000","11.580000","11.128000","108.054000","93.216000","108.819000","0.046000","0.019000","0.016000","0.024000","4.037000","2.439000","23.884000","23.133000","24.045000","11.718000","16.596000","17.888000","82.776000","69.123000","80.469000","4018877","2014-02-13","10:54:29"
"393","National Archives and Records Administration","0.349000","0.326000","0.333000","5.249000","6.349000","8.134000","5.028000","4.580000","4.585000","0.241000","0.242000","0.242000","7.862000","7.426000","7.454000","0.133000","0.133000","1.133000","2.872000","3.938000","4.707000","4019411","2014-02-13","13:46:21"
"029","Department of Veterans Affairs","3.304000","3.330000","3.580000","14.522259","15.048166","15.048939","0.000000","0.000000","0.000000","1.730000","1.730000","1.730000","5.040726","5.067013","5.317364","0.008286","0.008425","0.008847","14.507247","15.032728","15.032728","4019427","2014-02-13","14:20:56"
"184","U.S. Agency for International Development","2.000000","0.000000","1.550000","7.965000","9.825000","10.612000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2.065000","0.065000","0.450000","0.000000","2.361000","2.361000","7.900000","7.400000","9.351000","4019553","2014-02-13","16:03:23"
"021","Department of Transportation","0.679000","0.727000","0.745000","22.579568","22.634009","21.170000","0.318000","0.758000","0.770000","1.640000","1.670000","2.430000","0.889000","0.907000","1.675000","15.781668","15.940009","14.430000","8.545900","8.942000","9.010000","4020181","2014-02-14","12:16:25"
"023","General Services Administration","10.719160","9.027437","9.345209","12.523359","12.526355","13.367387","5.028428","8.154378","8.431992","0.899000","0.659000","0.659000","11.964800","11.898272","11.643412","12.404647","15.722318","16.793096","4.800500","2.746580","3.367080","4020287","2014-02-14","16:10:55"
"011","Department of Justice","3.633532","3.690607","1.441570","17.102980","14.069720","10.575000","173.800516","223.095414","194.203960","0.153296","0.350000","0.350000","186.101148","234.664021","204.268530","1.239080","0.448490","0.000000","7.350096","6.093230","2.302000","4020461","2014-02-18","09:31:11"
"019","Department of Energy","8.414595","9.267218","8.559952","5.596250","21.415300","9.312060","1.972171","1.630023","1.296190","8.591000","3.384000","2.183000","10.677238","12.813178","13.232912","1.770338","4.036873","2.031040","12.126440","18.846490","6.087250","4020493","2014-02-18","12:31:12"
"020","Environmental Protection Agency","5.947184","5.886541","6.618545","23.804530","20.933264","20.913097","0.000000","0.244000","0.244000","0.668000","0.677000","0.762000","9.922622","6.812419","6.836147","1.848059","2.363062","3.013740","18.649033","18.565324","18.687755","4020571","2014-02-18","13:57:50"
"016","Social Security Administration","0.000000","0.000000","0.000000","1486.655000","1664.972000","1535.290000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","679.515000","668.965000","679.952000","391.723000","473.095000","420.265000","415.417000","522.912000","435.073000","4020579","2014-02-18","14:09:31"
"452","Smithsonian Institution","0.182000","0.182000","0.182000","0.000000","0.000000","0.000000","0.499000","0.499000","0.499000","0.000000","0.000000","0.000000","0.681000","0.681000","0.681000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","4020581","2014-02-18","14:20:29"
"025","Department of Housing and Urban Development","3.000000","10.000000","33.544000","0.200000","0.215000","0.215000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","3.200000","10.215000","33.759000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","4020589","2014-02-18","14:25:46"
"018","Department of Education","1.013552","0.855094","0.890528","67.024477","66.526618","72.746000","0.000000","1.275620","0.672000","0.000000","0.000000","0.000000","1.384613","5.573945","4.526000","1.726000","1.763000","1.397000","64.927416","61.320387","68.385528","4020723","2014-02-18","15:46:31"
"015","Department of the Treasury","0.000000","0.000000","13.526544","23.443275","30.473892","36.116072","84.638000","87.848640","88.986754","76.068680","84.142160","98.824032","84.638000","95.325120","119.349368","82.658449","84.565586","85.439870","16.853506","22.573986","32.664163","4020753","2014-02-18","18:47:58"
"027","Office of Personnel Management","0.404790","0.417530","0.000000","3.800000","4.032000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.273000","0.400000","0.000000","3.931790","4.049530","0.000000","4020761","2014-02-18","19:30:25"
"009","Department of Health and Human Services","2.260000","4.559000","4.566000","47.378000","51.065000","21.427000","5.268000","7.549000","6.371000","0.183000","0.364000","0.364000","25.003000","22.115000","14.798000","5.530000","8.776000","9.339000","24.556000","32.646000","8.591000","4033169","2014-02-26","16:29:59"
"007","Department of Defense","85.818000","87.971000","84.976000","48.604000","53.034000","47.548000","20.484000","24.729000","33.369000","0.000000","0.006000","0.006000","51.959000","75.253000","72.258000","9.442000","12.315000","12.124000","93.505000","78.172000","81.517000","4080485","2014-03-17","14:19:04"
